Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,OI Chg,Volume Open Interest Ratio,Type,,Time,Avg IV,
1200,70.80%,2910.60,"2,913.30",2916.00,0,0,unch,0,0,unch,178.40%,Call,N/A,16.79%,width: 1%,width: 1%
1400,65.93%,2711.40,"2,714.05",2716.70,0,0,unch,0,0,unch,160.25%,Call,N/A,16.79%,width: 1%,width: 1%
1600,61.06%,2512.00,"2,514.65",2517.30,0,0,unch,0,0,unch,141.57%,Call,N/A,16.79%,width: 1%,width: 1%
1800,56.19%,2312.60,"2,315.30",2318.00,0,0,unch,0,0,unch,125.78%,Call,N/A,16.79%,width: 1%,width: 1%
2000,51.33%,2113.30,"2,116.00",2118.70,0,0,unch,0,0,unch,112.08%,Call,N/A,16.79%,width: 1%,width: 1%
2200,46.46%,1914.00,"1,916.65",1919.30,0,0,unch,0,0,unch,98.92%,Call,N/A,16.79%,width: 1%,width: 1%
2400,41.59%,1714.60,"1,717.30",1720.00,0,0,unch,0,0,unch,86.74%,Call,N/A,16.79%,width: 1%,width: 1%
2600,36.73%,1515.30,"1,518.00",1520.70,0,0,unch,0,0,unch,75.71%,Call,N/A,16.79%,width: 1%,width: 1%
2800,31.86%,1316.00,"1,318.70",1321.40,0,0,unch,0,0,unch,65.23%,Call,N/A,16.79%,width: 1%,width: 1%
3000,26.99%,1116.70,"1,119.40",1122.10,0,0,unch,0,0,unch,55.20%,Call,N/A,16.79%,width: 1%,width: 1%
3100,24.56%,1017.20,"1,019.85",1022.50,0,0,unch,0,0,unch,50.72%,Call,N/A,16.79%,width: 1%,width: 1%
3200,22.12%,917.60,920.25,922.90,0,0,unch,0,0,unch,46.06%,Call,N/A,16.79%,width: 1%,width: 1%
3300,19.69%,818.10,820.75,823.40,0,0,unch,0,0,unch,41.72%,Call,N/A,16.79%,width: 1%,width: 1%
3350,18.47%,768.40,771.05,773.70,0,0,unch,0,0,unch,39.66%,Call,N/A,16.79%,width: 1%,width: 1%
3400,17.26%,718.70,721.35,724.00,0,0,unch,0,0,unch,37.56%,Call,N/A,16.79%,width: 1%,width: 1%
3450,16.04%,669.00,671.7,674.40,0,0,unch,0,0,unch,35.54%,Call,N/A,16.79%,width: 1%,width: 1%
3500,14.82%,619.50,622.15,624.80,0,0,unch,0,0,unch,33.65%,Call,N/A,16.79%,width: 1%,width: 1%
3550,13.61%,570.00,572.65,575.30,0,0,unch,0,0,unch,31.76%,Call,N/A,16.79%,width: 1%,width: 1%
3600,12.39%,520.70,523.3,525.90,0,0,unch,0,0,unch,29.99%,Call,N/A,16.79%,width: 1%,width: 1%
3650,11.17%,471.50,474.15,476.80,0,0,unch,0,0,unch,28.31%,Call,N/A,16.79%,width: 1%,width: 1%
3700,9.96%,422.70,425.3,427.90,0,0,unch,0,0,unch,26.75%,Call,N/A,16.79%,width: 1%,width: 1%
3750,8.74%,374.30,376.9,379.50,0,0,unch,0,0,unch,25.31%,Call,N/A,16.79%,width: 1%,width: 1%
3775,8.13%,350.40,352.95,355.50,0,0,unch,0,0,unch,24.65%,Call,N/A,16.79%,width: 1%,width: 1%
3800,7.52%,326.60,329.15,331.70,0,0,unch,0,0,unch,23.99%,Call,N/A,16.79%,width: 1%,width: 1%
3825,6.91%,303.10,305.65,308.20,0,0,unch,0,0,unch,23.39%,Call,N/A,16.79%,width: 1%,width: 1%
