Date,"1 Mo","2 Mo","3 Mo","4 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
04/21/2023,3.36,4.98,5.14,5.19,5.07,4.78,4.17,3.89,3.66,3.62,3.57,3.90,3.78
04/20/2023,3.40,5.04,5.12,5.17,5.06,4.77,4.14,3.87,3.63,3.59,3.54,3.87,3.75
04/19/2023,3.95,5.03,5.16,5.22,5.10,4.84,4.24,3.97,3.71,3.66,3.60,3.90,3.79
04/18/2023,3.89,5.04,5.20,5.19,5.09,4.81,4.19,3.92,3.69,3.63,3.58,3.91,3.79
04/17/2023,4.09,5.04,5.21,5.24,5.07,4.80,4.18,3.92,3.69,3.64,3.60,3.92,3.81
04/14/2023,4.29,4.98,5.14,5.16,5.03,4.77,4.08,3.83,3.60,3.56,3.52,3.85,3.74
04/13/2023,4.08,4.96,5.10,5.10,4.95,4.66,3.96,3.70,3.51,3.48,3.45,3.80,3.69
04/12/2023,4.27,4.89,5.02,5.10,4.98,4.64,3.95,3.68,3.46,3.43,3.41,3.75,3.64
04/11/2023,4.27,4.89,5.04,5.06,4.99,4.67,4.03,3.76,3.54,3.48,3.43,3.75,3.62
04/10/2023,4.53,4.89,5.08,5.08,4.98,4.65,4.00,3.75,3.52,3.47,3.41,3.74,3.62
04/07/2023,4.56,4.90,4.95,5.07,4.95,4.61,3.97,3.72,3.49,3.45,3.39,3.73,3.61
04/06/2023,4.57,4.85,4.91,4.98,4.93,4.51,3.82,3.59,3.37,3.34,3.30,3.66,3.54
04/05/2023,4.62,4.77,4.86,4.90,4.82,4.43,3.79,3.55,3.36,3.34,3.30,3.67,3.56
04/04/2023,4.66,4.80,4.88,4.90,4.80,4.50,3.84,3.60,3.39,3.38,3.35,3.72,3.60
04/03/2023,4.70,4.79,4.90,4.98,4.88,4.60,3.97,3.73,3.52,3.48,3.43,3.78,3.64
